Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Direct yes/no answer with a brief authorization explanation and next step.","N","Y","The page sample establishes that the guide covers who performs the exam but does not visibly answer the high-intent regular-family-doctor question or tell the user how to verify eligibility.","Yes — add a query-matched FAQ and verification workflow.","FILEPATH: uscis-medical/index.html || CURRENT: A generic USCIS Medical Exam & Civil Surgeon 5-Step Framework introduction without a direct regular-doctor eligibility answer || MISSING: The conditional rule that a family doctor is usable only when USCIS-designated as a civil surgeon, plus a verification action || EDIT: Add a dedicated FAQ block below the framework introduction stating “Only if your family doctor is a USCIS-designated civil surgeon,” followed by a two-step verification checklist and an internal link to the authorization-verification insight.","3","L3 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","page fix","uscis-medical/index.html","In the index page's primary guide content, directly below the 5-Step Framework introduction, add an H2, “Can I use my regular family doctor for the USCIS medical exam?” Answer: “Only if that doctor is a USCIS-designated civil surgeon. A regular family doctor who is not designated cannot complete the immigration medical exam for Form I-693.” Add a two-step check: ask the office whether the physician is a designated civil surgeon, then verify before booking. Internally link “verify” to the existing authorization-verification insight.","L3 (unchanged vs. 2026-08-14)"
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/","theindustryguides.com","Perplexity","2026-08-21","","Article-style answer with a direct conditional answer, rationale, exception, and locator-based next step.","N","Y","The response earns source-citation velocity through external sources, while the incumbent sample is generic and does not visibly state or substantiate the decisive designation condition.","Yes — direct-answer module plus authoritative support required to match cited-answer velocity.","FILEPATH: uscis-medical/index.html || CURRENT: A broad civil-surgeon overview with no visible proof-oriented answer for whether a personal physician can perform Form I-693 exams || MISSING: A direct conditional answer, a warning not to rely on an undesignated doctor, and authoritative sourcing for the designation requirement || EDIT: Add an H2 FAQ answering that a family doctor may perform the exam only if currently designated as a civil surgeon; add verification steps, an internal verification-page link, and a first-party authority citation when permitted.","4","L3→L4 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","authority","authority required","uscis-medical/index.html","Add the same regular-doctor FAQ to the index page, but make the first sentence citation-ready: “You may use your regular doctor only when that physician is currently USCIS-designated as a civil surgeon.” Include a concise “Do not assume” warning and a verification checklist. Support the final published claim with an approved first-party authority source when source-policy constraints permit; until then, link internally to the site's civil-surgeon verification page.","L3→L4 ↑ vs. 2026-08-14 (7d ago)"
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","Direct conditional answer followed by a practical three-step checklist.","N","Y","The response provides the exact decision rule and an actionable verification path; the sampled page only signals broad coverage of who performs the exam.","Yes — add direct eligibility and verification content.","FILEPATH: uscis-medical/index.html || CURRENT: A framework-level overview and generic direct-answer copy || MISSING: A scannable family-doctor eligibility decision, verification script, and preparation bridge for records || EDIT: Insert a query-matched FAQ with the conditional civil-surgeon rule, a three-step check-before-booking list, and an internal link to the authorization-verification article.","3","L3 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","structure","page fix","uscis-medical/index.html","Add a concise “Use your regular doctor?” FAQ immediately after the index-page direct answer. State that the doctor can perform the I-693 exam only if they are a USCIS-designated civil surgeon. Add: (1) call and ask whether the physician performs I-693 exams as a designated civil surgeon; (2) verify designation before the visit; (3) bring vaccination records even if another doctor supplied them. Link the verification step internally to the existing authorization-verification article.","L3 (unchanged vs. 2026-08-14)"
"do i need to fast before the immigration blood test","https://theindustryguides.com/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Short uncertainty-aware procedural answer directing the user to confirm with the examining clinic.","N","Y","The page sample does not directly address fasting. The model response reuses the page's broad logic of confirming clinic instructions, but its generic wording does not establish a stronger sourced answer.","Yes — replace generic framework text with a query-specific answer.","FILEPATH: uscis-medical/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html || CURRENT: A generic Evidence-to-Action Framework that says to ask what labs may be needed || MISSING: A direct fasting answer, an exception for clinic-specific preparation, and a call-before-you-go script || EDIT: Replace the direct-answer template with “Usually, do not fast unless your civil surgeon or lab tells you to,” then add a one-question phone script and medication/diet caution.","3","L1→L3 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","clarity","free win","uscis-medical/index.html","At the top of the bloodwork insight, replace the template-like direct answer with: “Usually, do not fast unless the civil surgeon, testing laboratory, or clinic specifically tells you to. Call before the appointment and ask whether any ordered test has special preparation instructions.” Add a one-line call script and a “Do not change medications or dietary instructions without clinician guidance” caution.","L1→L3 ↑ vs. 2026-08-14 (7d ago)"
"do i need to fast before the immigration blood test","https://theindustryguides.com/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html","theindustryguides.com","Perplexity","2026-08-21","","Source-excerpt answer giving a clear default, clinic-specific caveat, and related exam-preparation details.","N","Y","The cited response supplies a specific no-fasting conclusion from external sources, whereas the incumbent page sample only offers generic advice to ask about labs.","Yes — direct-answer content and authority support are needed.","FILEPATH: uscis-medical/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html || CURRENT: Template-style lab guidance without a fasting-specific conclusion or visible evidence support || MISSING: A clear default fasting rule, a specific-order caveat, a pre-appointment question, and authoritative backing || EDIT: Add a fasting FAQ at the top stating that routine fasting is generally not required unless the civil surgeon or lab instructs otherwise; add a one-question call script and support the final claim with an approved authoritative citation when permitted.","4","L1→L4 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","authority","authority required","uscis-medical/index.html","Create a direct-answer block at the start of the bloodwork insight: “Fasting is generally not required for routine immigration-exam bloodwork, but follow the civil surgeon or lab’s instructions for your specific order.” Add an H2, “What to ask before your appointment,” with: “Do any of my ordered tests require fasting or other preparation?” Publish the statement only with an approved authoritative citation when permitted; otherwise retain the conditional clinic-confirmation language and link internally to related lab guidance.","L1→L4 ↑ vs. 2026-08-14 (7d ago)"
"do i need to fast before the immigration blood test","https://theindustryguides.com/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","Direct factual answer with rationale, exceptions, and preparation steps","Y","N","The page has only a generic query-repetition framework; it does not provide the concrete no-fasting guidance, exception handling, or actionable preparation details used in the response.","Yes—replace templated copy with a query-specific answer.","FILEPATH: uscis-medical/index.html || CURRENT: A generic Evidence-to-Action Framework that repeats the bloodwork topic without answering fasting requirements || MISSING: A direct fasting answer, a clinic-confirmation exception, and practical appointment-preparation guidance || EDIT: Replace the Direct answer with a fasting-specific FAQ answer and add a five-item pre-appointment checklist.","2","L1→L2 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","completeness","page fix","uscis-medical/index.html","Replace the templated Direct answer under the H1 with a concise fasting-specific answer: “Usually, no fasting is required for immigration-exam blood testing. Confirm the clinic’s instructions because a separately ordered test may have different preparation rules.” Add a short “Before your appointment” checklist covering clinic confirmation, hydration, ID, vaccination records, and medications.","L1→L2 ↑ vs. 2026-08-14 (7d ago)"
"does health insurance cover the immigration medical exam","https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Brief direct answer with a coverage caveat","Y","N","The response gives the page’s core query phrasing a minimal reuse signal, but the page does not substantively answer whether the exam is covered or tell the user how to verify components of the bill.","Yes—add a decision-ready coverage answer.","FILEPATH: uscis-medical/index.html || CURRENT: Generic comparison language that repeats the insurance query but provides no coverage outcome || MISSING: A clear self-pay baseline, distinctions among exam fee, labs, vaccines, and follow-up care, and verification steps || EDIT: Add a direct coverage summary followed by an insurer-and-clinic call checklist.","2","L1→L2 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","completeness","page fix","uscis-medical/index.html","Replace the Direct answer with: “The immigration medical-exam fee is commonly self-pay, but coverage for vaccines, laboratory work, or follow-up care can vary by plan and clinic. Before booking, ask both the insurer and civil surgeon what is covered, in network, billed separately, and payable out of pocket.” Add a call script and a coverage-verification checklist.","L1→L2 ↑ vs. 2026-08-14 (7d ago)"
"does health insurance cover the immigration medical exam","https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part.html","theindustryguides.com","Perplexity","2026-08-21","","Source-grounded answer combining search excerpts, provider policy details, and coverage distinctions","Y","Y","The response cites sources and provides substantive coverage logic, including a meaningful distinction between self-pay exam services and potentially covered ancillary care. The page is generic, unsourced, and materially less useful.","Yes—requires maintained evidence, not merely a wording revision.","FILEPATH: uscis-medical/index.html || CURRENT: Unsourced generic comparison copy and an outbound canonical-workflow handoff || MISSING: Evidence-backed distinctions between the exam fee, vaccines, labs, and follow-up treatment that the cited response supplies || EDIT: Publish a dated, cited coverage matrix with plan-and-clinic verification questions and maintain source review.","4","L2→L4 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","authority","authority required","uscis-medical/index.html","Add a sourced coverage matrix immediately after the Direct answer: exam/clinic fee, required vaccines, required labs, additional testing, and follow-up treatment. For each row, state “often self-pay,” “may be plan-dependent,” or “confirm with insurer and clinic,” and maintain citations to current authoritative or provider billing evidence. Also add a date-stamped review note because plan rules change.","L2→L4 ↑ vs. 2026-08-14 (7d ago)"
"does health insurance cover the immigration medical exam","https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-21","","Detailed direct answer with cost-saving tactics, exceptions, and a clinic call script","Y","N","The detailed response substantially outperforms the page on actionable coverage logic. However, several broad claims need current plan-specific verification, so the page should outperform with carefully qualified, evidence-maintained guidance rather than copying assertions wholesale.","Yes—expand and qualify the insurance section.","FILEPATH: uscis-medical/index.html || CURRENT: A generic comparison statement with no explanation of which immigration-medical costs may be separately covered || MISSING: Component-by-component coverage guidance, safe qualification of plan variability, and a usable billing-verification script || EDIT: Add a coverage-component matrix and a clinic/insurer call script; qualify all coverage claims and support them with maintained evidence.","2","L2 (unchanged vs. 2026-08-14)","No direct domain citations captured","weak incumbent","completeness","outperform","uscis-medical/index.html","Create a “What insurance may pay for” section with separate cards for the civil-surgeon fee, vaccinations, immunity testing, and required labs. Use qualified language—coverage varies—and add a copy-ready question: “Can you bill my plan for vaccines or lab processing separately from the I-693 exam fee?” Remove unsupported universal claims, fixed price ranges, and blanket coverage assertions unless supported by maintained evidence.","L2 (unchanged vs. 2026-08-14)"
"how long is the I-693 medical exam valid for green card application","https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","theindustryguides.com","OpenAI GPT-4o","2026-08-21","","Concise rule statement with date mechanics and a current-guidance caveat","Y","N","The answer’s two-year-plus-60-day formulation represents legacy-sensitive procedural guidance. The page repeats the exact query but does not establish the current rule, making this a high-stakes authority and freshness gap rather than a simple wording issue.","Yes—current-rule validation and dated editorial maintenance are required.","FILEPATH: insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html || CURRENT: Generic comparison copy naming validity and expiration queries but not stating the controlling rule || MISSING: A current, date-specific I-693 validity answer, filing-timing context, and distinction from outdated two-year/60-day guidance || EDIT: Add a dated Current validity rule block and internally link to the 2025-update validity page for maintained rule detail.","2","L1→L2 ↑ vs. 2026-08-14 (7d ago)","No direct domain citations captured","weak incumbent","authority","authority required","insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","Replace the generic Direct answer with a dated “Current validity rule” block that states the applicable validity rule, identifies the controlling signature date and filing timing, and distinguishes legacy guidance from the current rule. Add a prominent link to the site’s current-validity update: https://theindustryguides.com/insights/uscis-medical-timeline-validity-005-current-i-693-validity-rule-after-the-2025-uscis-update.html. Include a reviewed-on date and maintain primary-rule verification.","L1→L2 ↑ vs. 2026-08-14 (7d ago)"
