Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"TRT injections vs gel &#8212; how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","Y","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT injections vs gel &#8212; how to decide' in the first 120 words || EDIT: Insert a structured H2 'TRT injections vs gel &#8212; how to decide' with comparison matrix and quick reference callout box at top of section.",2,"L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'TRT injections vs gel &#8212; how to decide' with 4-point comparison checklist.","L1&#8594;L2 &#8593; vs. 2026-08-26 (7d ago)"
"TRT injections vs gel &#8212; how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Perplexity","2026-09-02","https://pmc.ncbi.nlm.nih.gov/articles/PMC4599554/, https://www.sciencedirect.com/science/article/abs/pii/S1743609520307852, https://trtauthority.com/guide/what-to-expect/trt-method-comparison/, https://pmc.ncbi.nlm.nih.gov/articles/PMC6189635/, https://shotfreetrt.com/blog/testosterone-gel-vs-injections","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT injections vs gel &#8212; how to decide' in the first 120 words || EDIT: Insert a structured H2 'TRT injections vs gel &#8212; how to decide' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","pmc.ncbi.nlm.nih.gov, sciencedirect.com, trtauthority.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'TRT injections vs gel &#8212; how to decide' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"TRT injections vs gel &#8212; how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT injections vs gel &#8212; how to decide' in the first 120 words || EDIT: Insert a structured H2 'TRT injections vs gel &#8212; how to decide' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'TRT injections vs gel &#8212; how to decide' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT monitoring what labs matter' in the first 120 words || EDIT: Insert a structured H2 'TRT monitoring what labs matter' with comparison matrix and quick reference callout box at top of section.",3,"L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'TRT monitoring what labs matter' with 4-point comparison checklist.","L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Perplexity","2026-09-02","https://pmc.ncbi.nlm.nih.gov/articles/PMC10233410/, https://lolahealth.com/blogs/longevity/testosterone-replacement-therapy-blood-tests, https://www.affinitywholehealth.com/blog/essential-labs-for-testosterone-therapy, https://formblends.com/articles/trt-hub/trt-labs-before-starting, https://helvy.co.uk/guides/trt-blood-test-uk","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT monitoring what labs matter' in the first 120 words || EDIT: Insert a structured H2 'TRT monitoring what labs matter' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","pmc.ncbi.nlm.nih.gov, lolahealth.com, affinitywholehealth.com","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'TRT monitoring what labs matter' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT monitoring what labs matter' in the first 120 words || EDIT: Insert a structured H2 'TRT monitoring what labs matter' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'TRT monitoring what labs matter' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT side effects what to watch for' in the first 120 words || EDIT: Insert a structured H2 'TRT side effects what to watch for' with comparison matrix and quick reference callout box at top of section.",3,"L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'TRT side effects what to watch for' with 4-point comparison checklist.","L1&#8594;L3 &#8593; vs. 2026-08-26 (7d ago)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Perplexity","2026-09-02","https://www.drugwatch.com/testosterone/, https://www.mayoclinic.org/healthy-lifestyle/sexual-health/in-depth/testosterone-therapy/art-20045728, https://my.clevelandclinic.org/health/drugs/18031-testosterone-injection, https://www.singlecare.com/blog/testosterone-side-effects/, https://trt.foundation/testosterone-replacement-therapy-side-effects/","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT side effects what to watch for' in the first 120 words || EDIT: Insert a structured H2 'TRT side effects what to watch for' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","drugwatch.com, mayoclinic.org, my.clevelandclinic.org","strong incumbent","authority","authority required","trt/index.html","Add direct structured H2 block for 'TRT side effects what to watch for' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Gemini 1.5 Flash","2026-09-02","","multi-paragraph structured guide","N","Y","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'TRT side effects what to watch for' in the first 120 words || EDIT: Insert a structured H2 'TRT side effects what to watch for' with comparison matrix and quick reference callout box at top of section.",3,"L3 (unchanged vs. 2026-08-26)","","weak incumbent","clarity","page fix","trt/index.html","Add direct structured H2 block for 'TRT side effects what to watch for' with 4-point comparison checklist.","L3 (unchanged vs. 2026-08-26)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","OpenAI GPT-4o","2026-09-02","","multi-paragraph structured guide","N","N","Model relied on generic clinical summaries rather than structured local decision tables.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general overview and dosage || MISSING: Explicit bulleted comparison table and direct summary answering 'best TRT clinic near me' in the first 120 words || EDIT: Insert a structured H2 'best TRT clinic near me' with comparison matrix and quick reference callout box at top of section.",1,"L1 (unchanged vs. 2026-08-26)","","no incumbent","structure","free win","trt/index.html","Add direct structured H2 block for 'best TRT clinic near me' with 4-point comparison checklist.","L1 (unchanged vs. 2026-08-26)"
