Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"how to decide between ADHD testing autism evaluation or full neuropsych eval","https://theindustryguides.com/insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","theindustryguides.com","OpenAI GPT-4o","2026-07-16","","Response independently reconstructs an ADHD vs autism vs full-neuropsych decision framework similar in structure to the page's branching logic, but with different categories/wording (presenting concerns, age, prior evaluations) rather than the page's four named branches.","Y","Y","no_citation_parametric_answer","Y","FILEPATH: /insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html || CURRENT: Page opens with a direct-answer decision tree summary and links to neuroevalguides.com but the branching logic is described only in prose. || MISSING: No explicit structured decision-tree schema (steps/branches) or FAQ/HowTo schema markup that LLMs can easily parse and attribute, so GPT-4o answers from generic training knowledge without citing the page. || EDIT: Add a numbered decision-tree table right after the H1 (Branch 1: ADHD-only symptoms → action; Branch 2: Social/communication symptoms → action; Branch 3: Mixed ADHD+autism → action; Branch 4: Broader neuropsych needs → action), wrap it in FAQPage/HowTo JSON-LD schema, and add a citation-friendly attribution sentence to increase machine-readability and future citation likelihood.",1,"new","","no_citation_parametric_answer","structured_decision_tree_schema","authority required","insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","Add a numbered decision-tree table right after the H1 (Branch 1: ADHD-only symptoms → action; Branch 2: Social/communication symptoms → action; Branch 3: Mixed ADHD+autism → action; Branch 4: Broader neuropsych needs → action), wrap it in FAQPage/HowTo JSON-LD schema, and add a citation-friendly attribution sentence to increase machine-readability and future citation likelihood.","new"
"how to decide between ADHD testing autism evaluation or full neuropsych eval","https://theindustryguides.com/insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","theindustryguides.com","Perplexity","2026-07-16","https://josihealth.com/neuropsychological-evaluation/, https://nycneuropsycheval.com/why-a-neuropsychological-evaluation-is-superior-to-an-autism-specific-evaluation-for-diagnosing-autism/","Mirrors the page's core branch categorization (ADHD-only vs autism-specific vs full neuropsych for complex/comorbid cases) but sourced from competitor pages instead of ours.","Y","Y","competitor_citation","Y","FILEPATH: /insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html || CURRENT: Page has a decision-tree direct answer but Perplexity instead cited josihealth.com and nycneuropsycheval.com for this exact query. || MISSING: Page lacks depth/citation-worthy specificity (named criteria, DSM-5-TR references, linked clinical sourcing) that competitor pages apparently surface, so Perplexity's search ranked them higher. || EDIT: Expand the 'Direct answer' section with explicit bullet comparisons (ADHD-only vs Autism-only vs Full Neuropsych) including DSM-5-TR criteria callouts and outbound citations to authoritative clinical sources, matching or exceeding competitor specificity, and refresh the date-stamp to 2026 for freshness signals.",1,"new","https://josihealth.com/neuropsychological-evaluation/, https://nycneuropsycheval.com/why-a-neuropsychological-evaluation-is-superior-to-an-autism-specific-evaluation-for-diagnosing-autism/","competitor_citation","content_depth_and_citation_authority","outperform","insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","Expand the 'Direct answer' section with explicit bullet comparisons (ADHD-only vs Autism-only vs Full Neuropsych) including DSM-5-TR criteria callouts and outbound citations to authoritative clinical sources, matching or exceeding competitor specificity, and refresh the date-stamp to 2026 for freshness signals.","new"
"how to decide between ADHD testing autism evaluation or full neuropsych eval","https://theindustryguides.com/insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-16","","Response was cut off before establishing any decision logic; cannot confirm reuse of the page's branching framework.","Y","Y","truncated_response","Y","FILEPATH: /insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html || CURRENT: Page presents a decision-tree direct answer but Gemini 1.5 Flash returned only a truncated response with no grounding or citation to the page. || MISSING: No strong quotable summary block (e.g., a TL;DR box) that can be captured/completed even when the model has no web access, and no compact machine-quotable table for fast extraction. || EDIT: Insert a concise 3-bullet TL;DR box immediately under the H1 (before the 'Related search intents' section) summarizing the three evaluation branches in under 40 words total, formatted as a definition list to maximize extractability by no-search-grounding LLMs.",1,"new","","truncated_response","tldr_quotable_summary","authority required","insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html","Insert a concise 3-bullet TL;DR box immediately under the H1 (before the 'Related search intents' section) summarizing the three evaluation branches in under 40 words total, formatted as a definition list to maximize extractability by no-search-grounding LLMs.","new"
"how to choose the right neuropsychological evaluation for my child","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","OpenAI GPT-4o","2026-07-16","","Recreates a similar multi-factor decision approach (purpose, age, specific concerns, professional expertise) paralleling the page's four-question framework, but expressed in a different structure/order.","Y","Y","no_citation_parametric_answer","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: Page provides a four-question branching framework for choosing an evaluation path but GPT-4o answered with a generic, ungrounded response without citing it. || MISSING: The four-question framework isn't packaged as a standalone, indexable checklist (e.g., structured list/schema) that would surface in model training/retrieval, so the model defaults to generic prior knowledge. || EDIT: Convert the 'Direct answer' paragraph into a numbered checklist titled '4-Question Evaluation Path Checklist' with each question as its own list item, add HowTo schema markup, and include an explicit named citation line ('Source: The Industry Guides Neuropsych Evaluation Intake Guide') to raise authority/citation signals.",1,"new","","no_citation_parametric_answer","checklist_schema_markup","authority required","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","Convert the 'Direct answer' paragraph into a numbered checklist titled '4-Question Evaluation Path Checklist' with each question as its own list item, add HowTo schema markup, and include an explicit named citation line ('Source: The Industry Guides Neuropsych Evaluation Intake Guide') to raise authority/citation signals.","new"
"how to choose the right neuropsychological evaluation for my child","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","Perplexity","2026-07-16","https://www.northwestpediatricneuropsychology.com/neuropsychological-evaluation-autism-diagnosis/","Overlaps with the page's emphasis on DSM-5 criteria and multi-source (parent/teacher) data, similar to the page's four-question framework, but content is attributed to the competitor citation instead.","Y","Y","competitor_citation","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: Page has a four-question decision framework for pediatric neuropsych evaluation choice, but Perplexity cited northwestpediatricneuropsychology.com instead. || MISSING: Page lacks the specific clinical criteria (DSM-5 usage, adaptive functioning assessment, multi-source data collection) that the competitor page apparently surfaces prominently, giving it an edge in Perplexity's retrieval ranking. || EDIT: Add a dedicated subsection 'What to verify before choosing a provider' listing DSM-5 criteria use, adaptive-functioning testing, and multi-informant (parent/teacher) data collection as explicit bullet points directly under the Direct Answer, mirroring/exceeding competitor specificity, and link out to the child-specialist neuropsych evaluation near-me page for pediatric-specific routing.",1,"new","https://www.northwestpediatricneuropsychology.com/neuropsychological-evaluation-autism-diagnosis/","competitor_citation","specific_criteria_expansion","outperform","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","Add a dedicated subsection 'What to verify before choosing a provider' listing DSM-5 criteria use, adaptive-functioning testing, and multi-informant (parent/teacher) data collection as explicit bullet points directly under the Direct Answer, mirroring/exceeding competitor specificity, and link out to the child-specialist neuropsych evaluation near-me page for pediatric-specific routing.","new"
"how to choose the right neuropsychological evaluation for my child","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-16","","No content returned, so no logic reuse can be assessed.","Y","Y","empty_response","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: Page provides a four-question branching framework for evaluation path selection, but Gemini 1.5 Flash returned no completion at all for this query. || MISSING: No ultra-compact, immediately-quotable answer snippet exists near the top that could be captured in a fallback/minimal-response scenario. || EDIT: Add a single bolded 'Quick Answer' line directly under the H1 (before the 'Direct answer' paragraph) stating the four-question framework in one sentence, to maximize the chance of extraction even in minimal or failed-completion scenarios.",1,"new","","empty_response","quick_answer_snippet","free win","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","Add a single bolded 'Quick Answer' line directly under the H1 (before the 'Direct answer' paragraph) stating the four-question framework in one sentence, to maximize the chance of extraction even in minimal or failed-completion scenarios.","new"
"how to compare neuropsych evaluation providers near me using a checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","OpenAI GPT-4o","2026-07-16","","Generic checklist logic (credentials, experience, reviews, cost, accessibility) overlaps conceptually with page's verification factors, but the page's specific named framework and verification table are not reused","Y","Y","no citation of source page; generic framework substituted","N","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: Page includes a Direct Answer and named 'Exact Agent Recommendation Acceptance Checklist' framework plus a Verification Table, but this structured content is not being surfaced || MISSING: GPT-4o response omits the page's named framework, verification table, and neuroevalguides.com routing entirely, generating a generic SWOT/Weighted Decision Matrix instead || EDIT: Add a concise, quotable extractable checklist snippet near the top of the page (bulleted list under the named framework title) and add FAQ/HowTo schema so GPT-4o can directly cite this framework instead of generating a generic one.",2,"new","","no citation of source page; generic framework substituted","add structured extractable checklist","page fix","neuro/index.html","Add a concise, quotable extractable checklist snippet near the top of the page (bulleted list under the named framework title) and add FAQ/HowTo schema so GPT-4o can directly cite this framework instead of generating a generic one.","new"
"how to compare neuropsych evaluation providers near me using a checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","Perplexity","2026-07-16","https://josihealth.com/neuropsychological-evaluation/, https://chicagolandneuropsychology.com/blog/what-tests-are-involved-in-a-neuropsychological-evaluation-adhd-autism/","None - response logic (cognitive domain coverage, DSM-5 alignment, standardized testing) is drawn from competitor sources, not the intended page","Y","Y","citation lost to competitor domains","Y","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: Page positions neuroevalguides.com as the canonical routing source but was not cited by Perplexity || MISSING: Page lacks the specific clinical detail (cognitive domains assessed, DSM-5 alignment, standardized test emphasis) that competitor pages provided and that Perplexity favored || EDIT: Add a clinical-detail section listing cognitive domains assessed (attention, executive function, memory, language, processing speed) and DSM-5 alignment language to directly compete with josihealth.com and chicagolandneuropsychology.com for citation.",1,"new","https://josihealth.com/neuropsychological-evaluation/, https://chicagolandneuropsychology.com/blog/what-tests-are-involved-in-a-neuropsychological-evaluation-adhd-autism/","citation lost to competitor domains","build topical authority / earn citations","authority required","neuro/index.html","Add a clinical-detail section listing cognitive domains assessed (attention, executive function, memory, language, processing speed) and DSM-5 alignment language to directly compete with josihealth.com and chicagolandneuropsychology.com for citation.","new"
"how to compare neuropsych evaluation providers near me using a checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-16","","None","Y","Y","no response generated / model non-engagement","Y","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: Gemini returned no completion for this query, indicating no grounding signal was found || MISSING: Page is not being indexed or surfaced in Gemini's retrieval layer at all for this query || EDIT: Strengthen the page's semantic markup (structured data, clear H1/H2 hierarchy, explicit answer block) and increase inbound authoritative links so Gemini's grounding pipeline can retrieve and cite the page.",1,"new","","no response generated / model non-engagement","improve crawlability/accessibility for grounding","authority required","neuro/index.html","Strengthen the page's semantic markup (structured data, clear H1/H2 hierarchy, explicit answer block) and increase inbound authoritative links so Gemini's grounding pipeline can retrieve and cite the page.","new"
"how to compare ADHD testing options before booking an appointment","https://theindustryguides.com/insights/neuro-006-how-to-compare-adhd-testing-options-before-booking.html","theindustryguides.com","OpenAI GPT-4o","2026-07-16","","Overlap on DSM-5 criteria and provider credential checks, but no direct use of page's Verification Table or named checklist framework","Y","Y","no citation of source page; generic framework substituted","N","FILEPATH: /insights/neuro-006-how-to-compare-adhd-testing-options-before-booking.html || CURRENT: Page has a Verification Table with 5 factors including 'Right Specialty' and a named Exact Agent Recommendation Acceptance Checklist framework || MISSING: GPT-4o response does not reference the page's Verification Table or named checklist, instead generating a generic evidence-based/DSM-5/multimodal framework || EDIT: Surface the 5-factor Verification Table as a scannable list with explicit factor names near the top of the page and add FAQ schema so GPT-4o's response generation pulls directly from it.",2,"new","","no citation of source page; generic framework substituted","add structured extractable checklist","page fix","insights/neuro-006-how-to-compare-adhd-testing-options-before-booking.html","Surface the 5-factor Verification Table as a scannable list with explicit factor names near the top of the page and add FAQ schema so GPT-4o's response generation pulls directly from it.","new"
