Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT injections vs gel — how to decide","TRT Injections vs Gel: How to Decide","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT injections vs gel — how to decide under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT injections vs gel — how to decide' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT injections vs gel — how to decide' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT monitoring what labs matter","TRT Monitoring: What Blood Tests Matter","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT monitoring what labs matter under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT monitoring what labs matter' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT monitoring what labs matter' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Perplexity","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"TRT side effects what to watch for","TRT Side Effects: What to Watch For","theindustryguides.com","Gemini 1.5 Flash","2026-08-19","","Structured guide with bulleted criteria and checklist","N","Y","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","3","L3 unchanged vs. 2026-08-12 (7d ago)","","weak incumbent","structure","free win","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for TRT side effects what to watch for under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'TRT side effects what to watch for' in top 300 words. || EDIT: Add H2 'Direct Answer: TRT side effects what to watch for' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3 unchanged vs. 2026-08-12 (7d ago)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","OpenAI GPT-4o","2026-08-19","","Structured guide with bulleted criteria and checklist","N","N","Missing direct structured answer entity matching user query string at top of page.","Y","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","1","L3→L1 ↓ vs. 2026-08-12 (7d ago)","","medium incumbent","completeness","outperform","trt/index.html","FILEPATH: trt/index.html || CURRENT: Page outlines evaluation criteria for best TRT clinic near me under general H2 verification headers. || MISSING: Direct answer table and bulleted decision framework addressing 'best TRT clinic near me' in top 300 words. || EDIT: Add H2 'Direct Answer: best TRT clinic near me' with 3-row structured comparison table and decision checklist before provider evaluation section.","L3→L1 ↓ vs. 2026-08-12 (7d ago)"
